joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.012400,0.038200,0.016850,0.001700,-0.014450,0.006250,0.006000,-0.046250,-0.039550,-0.010700,-0.001900,0.232422,0.361800,-0.042700,0.017200,-0.811673,0.865235,0.005700,0.029250,9.265874,-10.623092,-0.154346,-0.173086,9.545980,-10.950674,-0.109059,-0.088355,-0.624745,0.696653
0.009025,0.037550,0.014325,-0.000500,-0.015075,0.005950,0.001425,-0.046725,-0.037825,-0.006450,-0.001325,0.158812,0.266792,-0.037575,0.013425,-0.819864,0.896355,0.008625,0.026925,9.281602,-10.730595,-0.146177,-0.163609,9.533035,-11.027487,-0.182121,-0.183045,-0.601037,0.676078
-0.001125,0.035550,0.006725,-0.007150,-0.016975,0.005025,-0.012225,-0.048150,-0.032700,0.006225,0.000400,0.010300,0.067395,-0.022175,0.002150,-0.813715,0.929703,0.017450,0.019975,9.259640,-10.869431,-0.137416,-0.156447,9.437130,-11.086456,-0.326037,-0.368570,-0.536430,0.611171
-0.007900,0.031925,0.002350,-0.011625,-0.015750,0.001850,-0.024450,-0.044975,-0.028025,0.020675,0.001225,-0.128460,-0.126767,-0.015675,-0.008425,-0.773429,0.906854,0.025225,0.013275,9.109836,-10.834951,-0.141156,-0.170308,9.218468,-10.960607,-0.433169,-0.518107,-0.447866,0.509531
-0.007875,0.028500,0.003425,-0.011675,-0.012025,-0.002000,-0.029150,-0.038800,-0.026100,0.029700,0.000700,-0.246131,-0.295150,-0.021325,-0.013050,-0.708283,0.833258,0.028050,0.010175,8.822464,-10.590206,-0.152391,-0.196844,8.880508,-10.628091,-0.494717,-0.617371,-0.352504,0.389744
-0.011100,0.023200,-0.000700,-0.008800,-0.008900,-0.004200,-0.030100,-0.029100,-0.022350,0.024225,0.001450,-0.342400,-0.438234,-0.017475,-0.016900,-0.617188,0.719707,0.024075,0.006850,8.412652,-10.099117,-0.165614,-0.222781,8.393270,-10.032499,-0.535596,-0.676753,-0.245985,0.251891
-0.013800,0.019300,-0.003875,-0.006025,-0.007225,-0.005925,-0.030050,-0.018850,-0.018800,0.015325,0.000650,-0.411202,-0.534038,-0.012100,-0.018775,-0.510985,0.574787,0.018775,0.004075,7.856081,-9.307763,-0.173482,-0.233671,7.767349,-9.150526,-0.551161,-0.689285,-0.145079,0.116764
-0.012200,0.019975,0.000075,-0.006400,-0.007900,-0.008350,-0.031600,-0.011000,-0.017400,0.014100,-0.004625,-0.448009,-0.564593,-0.013150,-0.017425,-0.402176,0.414572,0.017625,0.002650,7.145229,-8.214851,-0.171191,-0.221658,7.029402,-8.010703,-0.538255,-0.653460,-0.066995,0.009620
-0.012950,0.016625,-0.001125,-0.008300,-0.009275,-0.010300,-0.033100,-0.007325,-0.014725,0.009625,-0.011525,-0.446442,-0.360465,-0.009650,-0.012225,-0.295497,0.207316,0.015050,0.000450,6.320204,-4.876563,-0.158608,-0.128517,6.192607,-4.699051,-0.497414,-0.398084,-0.000829,-0.039232
-0.015650,0.010975,-0.006850,-0.010825,-0.010650,-0.010825,-0.033825,-0.009650,-0.012150,0.004125,-0.016575,-0.402580,-0.066181,-0.003375,-0.005825,-0.195641,0.046031,0.012350,-0.001400,5.317238,-1.072800,-0.131062,-0.023589,5.166537,-1.008165,-0.424501,-0.083578,0.049837,-0.025486
