body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.999932,0.003107,-0.011249,-0.000279,0.996659,0.054408,-0.060848,0.002699,0.988924,0.030628,0.094967,0.109872,0.994153,-0.007928,0.007480,0.107434,0.996319,-0.038773,-0.076360,-0.003690,0.993593,-0.023476,0.088184,-0.066676,0.997896,0.002709,-0.011815,-0.063698,0.999365,-0.000211,0.029433,-0.020094,0.991293,0.122917,0.042187,-0.021227,0.775564,0.227906,0.567023,-0.158251,0.740847,0.287157,0.563786,-0.225460,0.995148,-0.097187,-0.012481,-0.008964,0.776281,-0.250237,0.542606,0.200867,0.745717,-0.265017,0.542409,0.281894
0.999930,0.003108,-0.011382,-0.000337,0.996658,0.054423,-0.060860,0.002643,0.988935,0.030649,0.094845,0.109874,0.994162,-0.007805,0.006941,0.107390,0.996333,-0.038920,-0.076109,-0.003747,0.993538,-0.023514,0.088385,-0.067207,0.997864,0.002920,-0.011475,-0.064237,0.999383,-0.000159,0.028902,-0.019981,0.991280,0.123076,0.042149,-0.020977,0.775506,0.227973,0.567146,-0.157999,0.740288,0.287006,0.564321,-0.226148,0.995144,-0.097233,-0.012338,-0.009032,0.776476,-0.249967,0.542545,0.200616,0.745619,-0.264630,0.542712,0.281934
0.999929,0.003118,-0.011493,-0.000305,0.996656,0.054407,-0.060913,0.002676,0.988943,0.030632,0.094774,0.109871,0.994169,-0.007672,0.006561,0.107357,0.996347,-0.039066,-0.075852,-0.003716,0.993487,-0.023563,0.088603,-0.067660,0.997838,0.003078,-0.011188,-0.064694,0.999399,-0.000105,0.028429,-0.019828,0.991273,0.123193,0.042111,-0.020704,0.775496,0.227963,0.567245,-0.157706,0.739820,0.286890,0.564738,-0.226786,0.995149,-0.097203,-0.012211,-0.009042,0.776691,-0.249682,0.542419,0.200479,0.745693,-0.264055,0.542890,0.281936
0.999928,0.003147,-0.011562,-0.000092,0.996651,0.054331,-0.061050,0.002887,0.988944,0.030542,0.094801,0.109862,0.994172,-0.007519,0.006495,0.107344,0.996362,-0.039205,-0.075589,-0.003506,0.993443,-0.023631,0.088852,-0.067956,0.997821,0.003131,-0.011008,-0.064985,0.999414,-0.000046,0.028066,-0.019596,0.991277,0.123229,0.042070,-0.020381,0.775585,0.227800,0.567295,-0.157328,0.739536,0.286844,0.564918,-0.227321,0.995168,-0.097022,-0.012120,-0.008935,0.776946,-0.249369,0.542163,0.200571,0.746109,-0.263105,0.542817,0.281862
0.999927,0.003180,-0.011649,0.000076,0.996645,0.054255,-0.061207,0.003054,0.988946,0.030458,0.094933,0.109752,0.994186,-0.007322,0.006467,0.107229,0.996374,-0.039294,-0.075387,-0.003341,0.993408,-0.023658,0.089040,-0.068206,0.997805,0.003183,-0.010948,-0.065229,0.999428,-0.000032,0.027712,-0.019397,0.991288,0.123185,0.042069,-0.020086,0.775657,0.227577,0.567371,-0.157016,0.739229,0.286983,0.565124,-0.227631,0.995183,-0.096893,-0.012020,-0.008858,0.777093,-0.249185,0.541976,0.200736,0.746462,-0.262312,0.542747,0.281802
0.999926,0.003215,-0.011745,0.000222,0.996638,0.054180,-0.061374,0.003200,0.988949,0.030378,0.095116,0.109592,0.994206,-0.007103,0.006457,0.107064,0.996385,-0.039358,-0.075216,-0.003197,0.993378,-0.023666,0.089197,-0.068434,0.997791,0.003234,-0.010948,-0.065449,0.999441,-0.000040,0.027362,-0.019214,0.991304,0.123099,0.042087,-0.019804,0.775723,0.227324,0.567461,-0.156736,0.738912,0.287213,0.565343,-0.227826,0.995194,-0.096792,-0.011914,-0.008796,0.777184,-0.249068,0.541824,0.200938,0.746781,-0.261600,0.542680,0.281749
0.999925,0.003230,-0.011802,0.000499,0.996627,0.054150,-0.061560,0.003481,0.988953,0.030334,0.095104,0.109579,0.994210,-0.006945,0.006350,0.107043,0.996394,-0.039396,-0.075094,-0.002921,0.993369,-0.023703,0.089332,-0.068378,0.997794,0.003236,-0.011004,-0.065382,0.999452,-0.000087,0.027113,-0.018991,0.991327,0.122966,0.042050,-0.019521,0.775722,0.227109,0.567606,-0.156525,0.738974,0.286962,0.565544,-0.227444,0.995222,-0.096542,-0.011732,-0.008677,0.777276,-0.248812,0.541705,0.201221,0.747048,-0.260978,0.542615,0.281742
0.999924,0.003246,-0.011862,0.000770,0.996617,0.054117,-0.061739,0.003757,0.988958,0.030293,0.095093,0.109548,0.994216,-0.006792,0.006236,0.107003,0.996402,-0.039438,-0.074971,-0.002651,0.993365,-0.023757,0.089437,-0.068278,0.997801,0.003216,-0.011081,-0.065269,0.999463,-0.000150,0.026870,-0.018749,0.991359,0.122788,0.041972,-0.019226,0.775777,0.226856,0.567684,-0.156335,0.739118,0.286688,0.565639,-0.227084,0.995245,-0.096342,-0.011546,-0.008538,0.777298,-0.248657,0.541622,0.201552,0.747242,-0.260446,0.542574,0.281797
0.999923,0.003267,-0.011926,0.001027,0.996608,0.054084,-0.061901,0.004016,0.988967,0.030263,0.095084,0.109483,0.994226,-0.006646,0.006110,0.106928,0.996411,-0.039484,-0.074842,-0.002396,0.993372,-0.023845,0.089482,-0.068090,0.997813,0.003153,-0.011196,-0.065064,0.999474,-0.000241,0.026643,-0.018469,0.991404,0.122525,0.041816,-0.018911,0.775940,0.226531,0.567631,-0.156189,0.739425,0.286370,0.565526,-0.226767,0.995258,-0.096239,-0.011350,-0.008359,0.777177,-0.248702,0.541615,0.201980,0.747290,-0.260092,0.542586,0.281976
0.999922,0.003290,-0.011953,0.001178,0.996601,0.054015,-0.062068,0.004168,0.988997,0.030224,0.095003,0.109294,0.994248,-0.006565,0.005996,0.106734,0.996415,-0.039554,-0.074747,-0.002249,0.993379,-0.023932,0.089421,-0.068041,0.997816,0.003058,-0.011334,-0.065000,0.999480,-0.000330,0.026488,-0.018373,0.991426,0.122381,0.041780,-0.018778,0.775917,0.226377,0.567750,-0.156096,0.739544,0.286123,0.565573,-0.226573,0.995271,-0.096142,-0.011052,-0.008359,0.777008,-0.248626,0.541805,0.202217,0.747300,-0.259859,0.542598,0.282142
